unit_id,max_cycle,trajectory_length,length_rank,length_quintile
39,128,128,1,1
91,135,135,2,1
57,137,137,3,1
70,137,137,4,1
24,147,147,5,1
58,147,147,6,1
8,150,150,7,1
65,153,153,8,1
77,154,154,9,1
90,154,154,10,1
93,155,155,11,1
27,156,156,12,1
98,156,156,13,1
19,158,158,14,1
36,158,158,15,1
45,158,158,16,1
13,163,163,17,1
29,163,163,18,1
28,165,165,19,1
74,166,166,20,1
23,168,168,21,2
12,170,170,22,2
37,170,170,23,2
60,172,172,24,2
63,174,174,25,2
87,178,178,26,2
3,179,179,27,2
14,180,180,28,2
62,180,180,29,2
35,181,181,30,2
61,185,185,31,2
80,185,185,32,2
99,185,185,33,2
6,188,188,34,2
40,188,188,35,2
85,188,188,36,2
4,189,189,37,2
32,191,191,38,2
1,192,192,39,2
44,192,192,40,2
55,193,193,41,3
30,194,194,42,3
38,194,194,43,3
18,195,195,44,3
21,195,195,45,3
34,195,195,46,3
53,195,195,47,3
42,196,196,48,3
50,198,198,49,3
26,199,199,50,3
68,199,199,51,3
79,199,199,52,3
33,200,200,53,3
100,200,200,54,3
9,201,201,55,3
22,202,202,56,3
66,202,202,57,3
97,202,202,58,3
15,207,207,59,3
43,207,207,60,3
71,208,208,61,4
16,209,209,62,4
76,210,210,63,4
51,213,213,64,4
52,213,213,65,4
72,213,213,66,4
73,213,213,67,4
88,213,213,68,4
47,214,214,69,4
82,214,214,70,4
49,215,215,71,4
41,216,216,72,4
89,217,217,73,4
10,222,222,74,4
75,229,229,75,4
25,230,230,76,4
48,231,231,77,4
59,231,231,78,4
78,231,231,79,4
20,234,234,80,4
31,234,234,81,5
11,240,240,82,5
81,240,240,83,5
46,256,256,84,5
54,257,257,85,5
94,258,258,86,5
7,259,259,87,5
84,267,267,88,5
5,269,269,89,5
56,275,275,90,5
17,276,276,91,5
86,278,278,92,5
64,283,283,93,5
95,283,283,94,5
2,287,287,95,5
83,293,293,96,5
67,313,313,97,5
96,336,336,98,5
92,341,341,99,5
69,362,362,100,5
