unit_id,max_cycle,trajectory_length,length_quintile,split,split_seed,protocol_version
70,137,137,1,predictor_train,6521,fd001_data_v1
28,165,165,1,predictor_train,6521,fd001_data_v1
13,163,163,1,predictor_train,6521,fd001_data_v1
24,147,147,1,predictor_train,6521,fd001_data_v1
36,158,158,1,predictor_train,6521,fd001_data_v1
29,163,163,1,predictor_train,6521,fd001_data_v1
90,154,154,1,predictor_train,6521,fd001_data_v1
39,128,128,1,predictor_train,6521,fd001_data_v1
45,158,158,1,predictor_train,6521,fd001_data_v1
77,154,154,1,predictor_train,6521,fd001_data_v1
19,158,158,1,predictor_train,6521,fd001_data_v1
93,155,155,1,predictor_train,6521,fd001_data_v1
65,153,153,1,predictor_validation,6521,fd001_data_v1
91,135,135,1,predictor_validation,6521,fd001_data_v1
98,156,156,1,predictor_validation,6521,fd001_data_v1
74,166,166,1,rl_validation,6521,fd001_data_v1
58,147,147,1,rl_validation,6521,fd001_data_v1
57,137,137,1,rl_test,6521,fd001_data_v1
27,156,156,1,rl_test,6521,fd001_data_v1
8,150,150,1,rl_test,6521,fd001_data_v1
85,188,188,2,predictor_train,6521,fd001_data_v1
4,189,189,2,predictor_train,6521,fd001_data_v1
23,168,168,2,predictor_train,6521,fd001_data_v1
37,170,170,2,predictor_train,6521,fd001_data_v1
99,185,185,2,predictor_train,6521,fd001_data_v1
14,180,180,2,predictor_train,6521,fd001_data_v1
62,180,180,2,predictor_train,6521,fd001_data_v1
40,188,188,2,predictor_train,6521,fd001_data_v1
1,192,192,2,predictor_train,6521,fd001_data_v1
80,185,185,2,predictor_train,6521,fd001_data_v1
35,181,181,2,predictor_train,6521,fd001_data_v1
44,192,192,2,predictor_train,6521,fd001_data_v1
61,185,185,2,predictor_validation,6521,fd001_data_v1
3,179,179,2,predictor_validation,6521,fd001_data_v1
32,191,191,2,predictor_validation,6521,fd001_data_v1
12,170,170,2,rl_validation,6521,fd001_data_v1
63,174,174,2,rl_validation,6521,fd001_data_v1
60,172,172,2,rl_test,6521,fd001_data_v1
6,188,188,2,rl_test,6521,fd001_data_v1
87,178,178,2,rl_test,6521,fd001_data_v1
22,202,202,3,predictor_train,6521,fd001_data_v1
42,196,196,3,predictor_train,6521,fd001_data_v1
68,199,199,3,predictor_train,6521,fd001_data_v1
79,199,199,3,predictor_train,6521,fd001_data_v1
50,198,198,3,predictor_train,6521,fd001_data_v1
43,207,207,3,predictor_train,6521,fd001_data_v1
30,194,194,3,predictor_train,6521,fd001_data_v1
15,207,207,3,predictor_train,6521,fd001_data_v1
97,202,202,3,predictor_train,6521,fd001_data_v1
38,194,194,3,predictor_train,6521,fd001_data_v1
26,199,199,3,predictor_train,6521,fd001_data_v1
66,202,202,3,predictor_train,6521,fd001_data_v1
53,195,195,3,predictor_validation,6521,fd001_data_v1
55,193,193,3,predictor_validation,6521,fd001_data_v1
9,201,201,3,predictor_validation,6521,fd001_data_v1
33,200,200,3,rl_validation,6521,fd001_data_v1
100,200,200,3,rl_validation,6521,fd001_data_v1
34,195,195,3,rl_test,6521,fd001_data_v1
21,195,195,3,rl_test,6521,fd001_data_v1
18,195,195,3,rl_test,6521,fd001_data_v1
71,208,208,4,predictor_train,6521,fd001_data_v1
48,231,231,4,predictor_train,6521,fd001_data_v1
25,230,230,4,predictor_train,6521,fd001_data_v1
47,214,214,4,predictor_train,6521,fd001_data_v1
75,229,229,4,predictor_train,6521,fd001_data_v1
41,216,216,4,predictor_train,6521,fd001_data_v1
16,209,209,4,predictor_train,6521,fd001_data_v1
20,234,234,4,predictor_train,6521,fd001_data_v1
59,231,231,4,predictor_train,6521,fd001_data_v1
51,213,213,4,predictor_train,6521,fd001_data_v1
52,213,213,4,predictor_train,6521,fd001_data_v1
76,210,210,4,predictor_train,6521,fd001_data_v1
88,213,213,4,predictor_validation,6521,fd001_data_v1
73,213,213,4,predictor_validation,6521,fd001_data_v1
78,231,231,4,predictor_validation,6521,fd001_data_v1
89,217,217,4,rl_validation,6521,fd001_data_v1
49,215,215,4,rl_validation,6521,fd001_data_v1
82,214,214,4,rl_test,6521,fd001_data_v1
72,213,213,4,rl_test,6521,fd001_data_v1
10,222,222,4,rl_test,6521,fd001_data_v1
17,276,276,5,predictor_train,6521,fd001_data_v1
83,293,293,5,predictor_train,6521,fd001_data_v1
64,283,283,5,predictor_train,6521,fd001_data_v1
11,240,240,5,predictor_train,6521,fd001_data_v1
31,234,234,5,predictor_train,6521,fd001_data_v1
67,313,313,5,predictor_train,6521,fd001_data_v1
81,240,240,5,predictor_train,6521,fd001_data_v1
94,258,258,5,predictor_train,6521,fd001_data_v1
92,341,341,5,predictor_train,6521,fd001_data_v1
54,257,257,5,predictor_train,6521,fd001_data_v1
95,283,283,5,predictor_train,6521,fd001_data_v1
84,267,267,5,predictor_train,6521,fd001_data_v1
96,336,336,5,predictor_validation,6521,fd001_data_v1
86,278,278,5,predictor_validation,6521,fd001_data_v1
2,287,287,5,predictor_validation,6521,fd001_data_v1
56,275,275,5,rl_validation,6521,fd001_data_v1
46,256,256,5,rl_validation,6521,fd001_data_v1
5,269,269,5,rl_test,6521,fd001_data_v1
7,259,259,5,rl_test,6521,fd001_data_v1
69,362,362,5,rl_test,6521,fd001_data_v1
